Company,Category,What they do,Careers / Jobs URL,ATS Platform,ATS Token,Relevant Team(s),Notes,Jobs API / Feed URL (auto)
Applied Intuition,Robotics & autonomy,AV software / simulation,,,,,,
Wayve,Robotics & autonomy,Embodied AV AI (UK),,,,,,
Tesla,Robotics & autonomy,Autopilot / Optimus,,,,,,
Field AI,Robotics & autonomy,Field-robotics foundation models,,,,,,
Dexterity,Robotics & autonomy,Warehouse robotics,,,,,,
Generalist,Robotics & autonomy,Robot foundation models,,,,,,
Meta,Big tech & established AI,FAIR / GenAI applied + research,,,,,,
Google,Big tech & established AI,Research / DeepMind applied,,,,,,
Microsoft,Big tech & established AI,MSR + product AI,,,,,,
Amazon,Big tech & established AI,AWS AI / Science / Rufus,,,,,,
NVIDIA,Big tech & established AI,Research + applied,,,,,,
Netflix,Big tech & established AI,ML / personalization,,,,,,
Spotify,Big tech & established AI,ML / recsys,,,,,,
Pinterest,Big tech & established AI,ML / recommendations,,,,,,
LinkedIn,Big tech & established AI,AI / relevance,,,,,,
Uber,Big tech & established AI,ML / AI,,,,,,
Adobe,Big tech & established AI,Firefly / research,,,,,,
Salesforce,Big tech & established AI,AI Research,,,,,,
ServiceNow,Big tech & established AI,AI platform / research,,,,,,
Databricks,Big tech & established AI,Data + AI / Mosaic training,,,,,,
Snowflake,Big tech & established AI,AI / Cortex,,,,,,
IBM Research,Big tech & established AI,AI research,,,,,,
ByteDance / TikTok,Big tech & established AI,Research scientist roles,,,,,,
Qualcomm,Big tech & established AI,On-device AI,,,,,,
