Company,Category,What they do,Careers / Jobs URL,ATS Platform,ATS Token,Relevant Team(s),Notes,Jobs API / Feed URL (auto)
CoreWeave,AI infrastructure & compute,GPU cloud,,greenhouse,coreweave,,auto-resolved (259 jobs on probe),
Lambda,AI infrastructure & compute,GPU cloud,,ashby,lambda,,auto-resolved (38 jobs on probe),
Crusoe,AI infrastructure & compute,AI cloud / energy,,ashby,crusoe,,auto-resolved (343 jobs on probe),
Cerebras,AI infrastructure & compute,Wafer-scale AI chips,,ashby,cerebras,,auto-resolved (0 jobs on probe),
Groq,AI infrastructure & compute,LPU inference chips,,unresolved,,,no ATS match; tried slugs: groq,
SambaNova,AI infrastructure & compute,AI chips & systems,,greenhouse,sambanovasystems,,manual override (19 jobs on probe),
Etched,AI infrastructure & compute,Transformer ASICs,,ashby,etched,,auto-resolved (97 jobs on probe),
d-Matrix,AI infrastructure & compute,Inference compute,,ashby,d-matrix,,auto-resolved (41 jobs on probe),
Tenstorrent,AI infrastructure & compute,AI chips (RISC-V),,greenhouse,tenstorrent,,auto-resolved (120 jobs on probe),
Nebius,AI infrastructure & compute,AI cloud,,greenhouse,nebius,,auto-resolved (330 jobs on probe),
Anysphere (Cursor),Coding & dev tools,AI code editor / agent,,ashby,cursor,,auto-resolved (94 jobs on probe),
Cognition (Devin),Coding & dev tools,Autonomous SWE agent,,ashby,cognition,,auto-resolved (62 jobs on probe),
Replit,Coding & dev tools,AI app building,,ashby,replit,,auto-resolved (94 jobs on probe),
Windsurf,Coding & dev tools,Agentic IDE (Codeium),,unresolved,,,no ATS match; tried slugs: windsurf,
Augment Code,Coding & dev tools,Enterprise coding agent,,greenhouse,augmentcomputing,,manual override (3 jobs on probe),
Sourcegraph,Coding & dev tools,Code search + Amp agent,,greenhouse,sourcegraph91,,manual override (8 jobs on probe),
Tabnine,Coding & dev tools,Code completion,,unresolved,,,no ATS match; tried slugs: tabnine,
Continue,Coding & dev tools,Open-source coding assistant,,ashby,continue,,auto-resolved (3 jobs on probe),
Vercel,Coding & dev tools,v0; AI web dev,,greenhouse,vercel,,auto-resolved (75 jobs on probe),
Factory AI,Coding & dev tools,Software agents,,ashby,factory,,auto-resolved (33 jobs on probe),
All Hands AI,Coding & dev tools,OpenHands agents,,ashby,OpenHands,,manual override (0 jobs on probe),
Warp,Coding & dev tools,Agentic terminal,,greenhouse,warp,,auto-resolved (4 jobs on probe),
Perplexity,Search & enterprise knowledge,AI answer engine,,ashby,perplexity,,auto-resolved (71 jobs on probe),
Glean,Search & enterprise knowledge,Enterprise search / agents,,greenhouse,gleanwork,,manual override (171 jobs on probe),
Hebbia,Search & enterprise knowledge,Document / finance AI,,ashby,hebbia-ai,,manual override (33 jobs on probe),
Sana,Search & enterprise knowledge,Enterprise knowledge AI,,ashby,sana-roles,,manual override (30 jobs on probe),
Writer,Search & enterprise knowledge,Enterprise generative AI,,ashby,writer,,auto-resolved (50 jobs on probe),
Dust,Search & enterprise knowledge,Enterprise agents platform,,ashby,dust,,auto-resolved (26 jobs on probe),
You.com,Search & enterprise knowledge,AI search,,greenhouse,youcom,,auto-resolved (10 jobs on probe),
Sierra,Agents & automation,Customer-experience agents,,ashby,sierra,,auto-resolved (122 jobs on probe),
Decagon,Agents & automation,Support agents,,ashby,decagon,,auto-resolved (110 jobs on probe),
Cresta,Agents & automation,Contact-center AI,,greenhouse,cresta,,auto-resolved (113 jobs on probe),
Lindy,Agents & automation,AI automation / agents,,ashby,lindy,,auto-resolved (0 jobs on probe),
MultiOn,Agents & automation,Web agents,,unresolved,,,no ATS match; tried slugs: multion,
H Company,Agents & automation,Agentic AI (France),,ashby,hcompany,,auto-resolved (29 jobs on probe),
Ema,Agents & automation,Universal AI employee,,ashby,ema,,auto-resolved (28 jobs on probe),
11x,Agents & automation,AI SDRs,,unresolved,,,no ATS match; tried slugs: 11x,
ElevenLabs,Voice & audio,Voice AI / TTS,,ashby,elevenlabs,,auto-resolved (152 jobs on probe),
Cartesia,Voice & audio,Real-time voice models,,ashby,cartesia,,auto-resolved (36 jobs on probe),
Deepgram,Voice & audio,Speech-to-text,,ashby,deepgram,,auto-resolved (59 jobs on probe),
AssemblyAI,Voice & audio,Speech AI APIs,,greenhouse,assemblyai,,auto-resolved (7 jobs on probe),
Suno,Voice & audio,AI music,,ashby,suno,,auto-resolved (43 jobs on probe),
Udio,Voice & audio,AI music,,greenhouse,udio,,auto-resolved (5 jobs on probe),
Hume AI,Voice & audio,Emotionally-intelligent voice,,greenhouse,humeai,,auto-resolved (4 jobs on probe),
Sesame,Voice & audio,Voice companions / hardware,,ashby,sesame,,auto-resolved (27 jobs on probe),
PlayAI,Voice & audio,Voice agents,,unresolved,,,no ATS match; tried slugs: playai,
Runway,Vision / video & creative,AI video generation,,ashby,runway,,auto-resolved (4 jobs on probe),
Pika,Vision / video & creative,AI video,,ashby,pika,,auto-resolved (4 jobs on probe),
Luma AI,Vision / video & creative,Video / 3D (Dream Machine),,ashby,lumaai,,auto-resolved (0 jobs on probe),
Midjourney,Vision / video & creative,Image generation,,unresolved,,,no ATS match; tried slugs: midjourney,
Stability AI,Vision / video & creative,Open image/video models,,greenhouse,stabilityai,,auto-resolved (5 jobs on probe),
Ideogram,Vision / video & creative,Image gen with text,,ashby,ideogram,,auto-resolved (8 jobs on probe),
Synthesia,Vision / video & creative,AI video avatars,,ashby,synthesia,,auto-resolved (76 jobs on probe),
HeyGen,Vision / video & creative,AI avatars / video,,greenhouse,heygen,,auto-resolved (21 jobs on probe),
Captions,Vision / video & creative,AI video creation,,ashby,mirage,,manual override (15 jobs on probe),
Descript,Vision / video & creative,AI audio/video editing,,greenhouse,descript,,auto-resolved (7 jobs on probe),
Krea,Vision / video & creative,Generative design,,ashby,krea,,auto-resolved (17 jobs on probe),
Abridge,Healthcare & bio AI,Clinical documentation AI,,ashby,abridge,,auto-resolved (61 jobs on probe),
Ambience Healthcare,Healthcare & bio AI,Clinical AI,,ashby,ambiencehealthcare,,auto-resolved (21 jobs on probe),
OpenEvidence,Healthcare & bio AI,Medical AI for physicians,,ashby,openevidence,,auto-resolved (11 jobs on probe),
Hippocratic AI,Healthcare & bio AI,Healthcare agents,,ashby,Hippocratic AI,,manual override (74 jobs on probe),
Suki,Healthcare & bio AI,Clinical voice assistant,,greenhouse,suki,,auto-resolved (10 jobs on probe),
Isomorphic Labs,Healthcare & bio AI,AI drug discovery (Alphabet),,greenhouse,isomorphiclabs,,auto-resolved (27 jobs on probe),
Xaira Therapeutics,Healthcare & bio AI,AI drug discovery,,greenhouse,xairatherapeutics,,auto-resolved (16 jobs on probe),
EvolutionaryScale,Healthcare & bio AI,Protein models (ESM),,greenhouse,evolutionaryscale,,auto-resolved (0 jobs on probe),
Chai Discovery,Healthcare & bio AI,Molecular structure models,,ashby,chaidiscovery,,auto-resolved (13 jobs on probe),
Recursion,Healthcare & bio AI,AI-driven biopharma,,greenhouse,recursionpharmaceuticals,,manual override (38 jobs on probe),
Cradle,Healthcare & bio AI,Protein design,,ashby,cradlebio,,manual override (11 jobs on probe),
Harvey,Legal / finance & vertical,Legal AI,,ashby,harvey,,auto-resolved (250 jobs on probe),
Robin AI,Legal / finance & vertical,Legal contracts AI,,ashby,robin-ai,,auto-resolved (8 jobs on probe),
EvenUp,Legal / finance & vertical,Legal (injury) AI,,unresolved,,,no ATS match; tried slugs: evenup,
Eudia,Legal / finance & vertical,Legal / enterprise AI,,greenhouse,eudia,,auto-resolved (9 jobs on probe),
Rogo,Legal / finance & vertical,Finance research AI,,ashby,rogo,,auto-resolved (50 jobs on probe),
Clay,Legal / finance & vertical,GTM / data enrichment,,ashby,claylabs,,manual override (83 jobs on probe),
Ramp,Legal / finance & vertical,Finance automation (AI),,ashby,ramp,,auto-resolved (110 jobs on probe),
Mercor,Legal / finance & vertical,AI hiring / talent marketplace,,ashby,mercor,,auto-resolved (61 jobs on probe),
Scale AI,Data / eval & ML tooling,Data labeling / eval,,greenhouse,scaleai,,auto-resolved (173 jobs on probe),
Surge AI,Data / eval & ML tooling,Data labeling,,ashby,surge-ai,,auto-resolved (0 jobs on probe),
Labelbox,Data / eval & ML tooling,Data platform,,greenhouse,labelbox,,auto-resolved (14 jobs on probe),
Snorkel AI,Data / eval & ML tooling,Programmatic data / eval,,greenhouse,snorkelai,,auto-resolved (44 jobs on probe),
Turing,Data / eval & ML tooling,Training data / talent,,greenhouse,turing,,auto-resolved (23 jobs on probe),
Invisible Technologies,Data / eval & ML tooling,AI ops / data,,greenhouse,invisible,,auto-resolved (6 jobs on probe),
Hugging Face,Data / eval & ML tooling,Models & datasets hub,,workable,huggingface,,manual override (9 jobs on probe),
LangChain,Data / eval & ML tooling,LLM app framework,,ashby,langchain,,auto-resolved (105 jobs on probe),
LlamaIndex,Data / eval & ML tooling,Data framework for LLMs,,ashby,llamaindex,,auto-resolved (11 jobs on probe),
Weights & Biases,Data / eval & ML tooling,ML experiment tracking,,unresolved,,,"no ATS match; tried slugs: weightsbiases, weights-biases, weights_biases, weights",
Braintrust,Data / eval & ML tooling,LLM eval platform,,ashby,braintrust,,auto-resolved (31 jobs on probe),
Patronus AI,Data / eval & ML tooling,LLM evaluation,,greenhouse,patronusaiinc,,manual override (5 jobs on probe),
Arize AI,Data / eval & ML tooling,ML / LLM observability,,greenhouse,arizeai,,auto-resolved (37 jobs on probe),
Galileo,Data / eval & ML tooling,LLM eval / observability,,greenhouse,galileo,,auto-resolved (7 jobs on probe),
Distyl AI,Data / eval & ML tooling,Enterprise AI delivery,,ashby,distyl,,auto-resolved (26 jobs on probe),
Physical Intelligence,Robotics & autonomy,Robot foundation models,,ashby,physicalintelligence,,auto-resolved (24 jobs on probe),
Skild AI,Robotics & autonomy,Robot foundation models,,greenhouse,skildai-careers,,manual override (55 jobs on probe),
Figure,Robotics & autonomy,Humanoid robots,,greenhouse,figure,,auto-resolved (19 jobs on probe),
1X Technologies,Robotics & autonomy,Humanoid robots,,ashby,1x,,auto-resolved (0 jobs on probe),
Agility Robotics,Robotics & autonomy,Humanoid (Digit),,greenhouse,agilityrobotics,,auto-resolved (43 jobs on probe),
Boston Dynamics,Robotics & autonomy,Robotics,,workday,bostondynamics|wd1|Boston_Dynamics,,manual override (62 jobs on probe),
Waymo,Robotics & autonomy,Autonomous driving,,greenhouse,waymo,,auto-resolved (417 jobs on probe),
Nuro,Robotics & autonomy,Autonomous delivery,,greenhouse,nuro,,auto-resolved (107 jobs on probe),
Applied Intuition,Robotics & autonomy,AV software / simulation,,ashby,applied,,auto-resolved (230 jobs on probe),
Wayve,Robotics & autonomy,Embodied AV AI (UK),,greenhouse,wayve,,auto-resolved (115 jobs on probe),
Tesla,Robotics & autonomy,Autopilot / Optimus,,unresolved,,,no ATS match; tried slugs: tesla,
Field AI,Robotics & autonomy,Field-robotics foundation models,,lever,field-ai,,auto-resolved (92 jobs on probe),
Dexterity,Robotics & autonomy,Warehouse robotics,,lever,dexterity,,auto-resolved (26 jobs on probe),
Generalist,Robotics & autonomy,Robot foundation models,,ashby,generalist,,auto-resolved (15 jobs on probe),
Meta,Big tech & established AI,FAIR / GenAI applied + research,,unresolved,,,no ATS match; tried slugs: meta,
Google,Big tech & established AI,Research / DeepMind applied,,unresolved,,,no ATS match; tried slugs: google,
Microsoft,Big tech & established AI,MSR + product AI,,unresolved,,,no ATS match; tried slugs: microsoft,
Amazon,Big tech & established AI,AWS AI / Science / Rufus,,amazon,amazon,,manual override (6523 jobs on probe),
NVIDIA,Big tech & established AI,Research + applied,,workday,nvidia|wd5|NVIDIAExternalCareerSite,,manual override (198 jobs on probe),
Netflix,Big tech & established AI,ML / personalization,,unresolved,,,lever board empty/stale,
Spotify,Big tech & established AI,ML / recsys,,lever,spotify,,auto-resolved (148 jobs on probe),
Pinterest,Big tech & established AI,ML / recommendations,,greenhouse,pinterest,,auto-resolved (170 jobs on probe),
LinkedIn,Big tech & established AI,AI / relevance,,unresolved,,,mis-resolved (LI Test Company),
Uber,Big tech & established AI,ML / AI,,unresolved,,,no ATS match; tried slugs: uber,
Adobe,Big tech & established AI,Firefly / research,,workday,adobe|wd5|external_experienced,,manual override (173 jobs on probe),
Salesforce,Big tech & established AI,AI Research,,workday,salesforce|wd12|External_Career_Site,,manual override (120 jobs on probe),
ServiceNow,Big tech & established AI,AI platform / research,,smartrecruiters,servicenow,,manual override (447 jobs on probe),
Databricks,Big tech & established AI,Data + AI / Mosaic training,,greenhouse,databricks,,auto-resolved (781 jobs on probe),
Snowflake,Big tech & established AI,AI / Cortex,,ashby,snowflake,,auto-resolved (390 jobs on probe),
IBM Research,Big tech & established AI,AI research,,unresolved,,,"no ATS match; tried slugs: ibmresearch, ibm-research, ibm_research, ibm",
ByteDance / TikTok,Big tech & established AI,Research scientist roles,,smartrecruiters,bytedance,,manual override (2 jobs on probe),
Qualcomm,Big tech & established AI,On-device AI,,unresolved,,,no ATS match; tried slugs: qualcomm,
Finvest,Startups (YC),AI Wealth Manager,,ashby,finvest,,YC Winter 2023,
Reflex,Startups (YC),The operating system for building mission-critical enterprise apps.,,greenhouse,reflex,,YC Winter 2023,
Rollstack,Startups (YC),Automate data-driven slide decks and documents with AI,,ashby,rollstack,,YC Winter 2023,
Concourse,Startups (YC),AI Agents for corporate finance teams,,ashby,concourse,,YC Winter 2023,
Latent,Startups (YC),Medical language models to automate healthcare operations,,ashby,latent,,YC Winter 2023,
Salient,Startups (YC),AI Servicing for Auto Lenders,,ashby,salient,,YC Winter 2023,
GovEagle,Startups (YC),AI for Government Contractors,,ashby,goveagle,,YC Winter 2023,
Cosine,Startups (YC),Fully Agentic SWE,,ashby,cosine,,YC Winter 2023,
Haven,Startups (YC),AI workforce for property management,,greenhouse,haven,,YC Winter 2023,
Inkeep,Startups (YC),Build AI Agent teammates and automations in code or no-code,,ashby,inkeep,,YC Winter 2023,
Onshore,Startups (YC),AI for corporate tax,,greenhouse,onshore,,YC Winter 2023,
Pylon,Startups (YC),The only customer support platform built for B2B.,,ashby,pylon,,YC Winter 2023,
Conduit,Startups (YC),The operating system for shipping and receiving.,,ashby,conduit,,YC Winter 2023,
Vector,Startups (YC),Advertising for the new internet,,ashby,vector,,YC Winter 2023,
Metal,Startups (YC),Institutional Intelligence for Private Equity,,ashby,metal,,YC Winter 2023,
LiteLLM,Startups (YC),Call every LLM API like it's OpenAI [100+ LLMs],,ashby,litellm,,YC Winter 2023,
Automat,Startups (YC),AI enabled RPA using ChatGPT and computer vision,,ashby,automat,,YC Winter 2023,
Yuma AI,Startups (YC),The AI Support Agent for Ecommerce,,ashby,yumaai,,YC Winter 2023,
Elyos AI,Startups (YC),AI Customer Service Agents for trades and field services,,ashby,elyos,,YC Summer 2023,
Hyperbound,Startups (YC),Revenue Activation Platform,,ashby,hyperbound,,YC Summer 2023,
Bland AI,Startups (YC),The enterprise platform for AI phone calls,,ashby,bland,,YC Summer 2023,
Diligent,Startups (YC),AI agents for fintech risk and compliance operations,,greenhouse,diligent,,YC Summer 2023,
Casca,Startups (YC),Make Banking Magical,,ashby,casca,,YC Summer 2023,
Prosper,Startups (YC),AI Phone Agents for Healthcare Operations,,lever,prosper,,YC Summer 2023,
Solve Intelligence,Startups (YC),"AI patent drafting, prosecution, litigation and more for legal teams.",,ashby,solveintelligence,,YC Summer 2023,
Subsets,Startups (YC),AI-driven Retention Automation for subscription media businesses.,,ashby,subsets,,YC Summer 2023,
Campfire,Startups (YC),The AI Native ERP for the fastest growing companies.,,ashby,campfire,,YC Summer 2023,
Outset,Startups (YC),AI-powered user interviews,,ashby,outset,,YC Summer 2023,
FleetWorks,Startups (YC),AI enabled marketplace matching trucks with jobs,,ashby,fleetworks,,YC Summer 2023,
Decoda Health,Startups (YC),The all-in-one EMR built for med spas and elective care,,ashby,decodahealth,,YC Summer 2023,
Maven Bio,Startups (YC),The AI Platform for Life Sciences Intelligence,,ashby,maven,,YC Summer 2023,
Bretton AI,Startups (YC),"AI agents for financial compliance (AML, KYC and Sanctions)",,ashby,brettonai,,YC Summer 2023,
Empirical Health,Startups (YC),Don't die of heart disease. Empirical is the first AI-native heart…,,ashby,empirical,,YC Summer 2023,
Flint,Startups (YC),Personalized learning built for schools,,ashby,flint,,YC Summer 2023,
Sola,Startups (YC),Copilot for Robotic Process Automation,,ashby,sola,,YC Summer 2023,
SafetyKit,Startups (YC),"AI agents for risk, compliance, and safety",,ashby,safetykit,,YC Summer 2023,
Andromeda Surgical,Startups (YC),Autonomous surgical robots,,ashby,andromeda,,YC Summer 2023,
Sweep,Startups (YC),The best AI coding assistant for JetBrains,,ashby,sweep,,YC Summer 2023,
Langdock,Startups (YC),The all-in-one AI platform for companies.,,ashby,langdock,,YC Summer 2023,
Tempo,Startups (YC),"Visual Editor for React, powered by AI",,ashby,tempo,,YC Summer 2023,
Onyx,Startups (YC),Open Source AI Chat,,ashby,onyx,,YC Winter 2024,
Navier AI,Startups (YC),Agent-Driven Engineering,,greenhouse,navierai,,YC Winter 2024,
Legora,Startups (YC),The AI workspace for lawyers,,ashby,legora,,YC Winter 2024,
Greptile,Startups (YC),AI code review agent with complete context of your codebase,,ashby,greptile,,YC Winter 2024,
Tekton Dynamics,Startups (YC),AI control layer for welding robots,,ashby,tekton-dynamics,,YC Winter 2024,
Reducto,Startups (YC),The complete agentic document platform,,ashby,reducto,,YC Winter 2024,
Momentic,Startups (YC),The agentic quality platform for web and mobile,,ashby,momentic,,YC Winter 2024,
Tuesday Labs,Startups (YC),Delightful robots,,ashby,tuesday-labs,,YC Winter 2024,
Pivot Robotics,Startups (YC),AI for Robot Arms in Factories,,ashby,pivotrobotics,,YC Winter 2024,
PointOne,Startups (YC),AI Time Platform for Law Firms,,ashby,pointone,,YC Winter 2024,
Paradigm,Startups (YC),A reimagined workspace with AI at its core,,ashby,paradigm,,YC Winter 2024,
Arini,Startups (YC),AI receptionist for dentists,,ashby,arini,,YC Winter 2024,
FurtherAI,Startups (YC),AI Workforce for the Insurance Industry,,ashby,furtherai,,YC Winter 2024,
Artisan,Startups (YC),"AI employees called Artisans, starting with an AI BDR",,ashby,artisan,,YC Winter 2024,
Greenboard,Startups (YC),Modern OS for the financial back office. ,,ashby,greenboard,,YC Winter 2024,
Trellis AI,Startups (YC),Accelerate Medication Access with AI,,ashby,trellis,,YC Winter 2024,
Clarion,Startups (YC),The AI communication layer for healthcare,,ashby,clarion,,YC Winter 2024,
Tamarind Bio,Startups (YC),AI Inference Platform for Drug Discovery,,ashby,tamarindbio,,YC Winter 2024,
Centralize,Startups (YC),The relationship intelligence platform for enterprise revenue,,ashby,centralize,,YC Winter 2024,
Conduit,Startups (YC),AI Agents for Hospitality,,ashby,conduit,,YC Winter 2024,
Hazel,Startups (YC),AI-enabled procurement for government,,ashby,hazel,,YC Winter 2024,
OffDeal,Startups (YC),AI-native investment bank for small businesses,,ashby,offdeal,,YC Winter 2024,
Opencall,Startups (YC),Practice admin run by AI,,ashby,opencall,,YC Winter 2024,
Brainbase Labs,Startups (YC),The AI Labor Company,,ashby,brainbaselabs,,YC Winter 2024,
Retell AI,Startups (YC),Supercharge Your Contact Center Operations with AI Phone Agents,,ashby,retell-ai,,YC Winter 2024,
Spur,Startups (YC),Spur is your AI QA Engineer. Test your websites with natural language.,,ashby,spur,,YC Summer 2024,
Ultra,Startups (YC),"Practical, general-purpose robots for repetitive industrial tasks",,ashby,ultra,,YC Summer 2024,
Domu Technology Inc.,Startups (YC),AI Agents for collections,,ashby,domu,,YC Summer 2024,
Mem0,Startups (YC),The Memory layer for AI Agents,,ashby,mem0,,YC Summer 2024,
Codes Health,Startups (YC),Medical Record Retrieval with Zero Human Error,,ashby,codes-health,,YC Summer 2024,
Sage Care,Startups (YC),Automating home care agency operations with AI,,ashby,sagecare,,YC Summer 2024,
Phonely,Startups (YC),AI call centers ,,ashby,phonely,,YC Summer 2024,
Corgi Insurance,Startups (YC),Corgi is building an AI financial infrastructure company,,ashby,corgi,,YC Summer 2024,
Substrate,Startups (YC),Artificial Intelligence for your medical billing team,,ashby,substrate,,YC Summer 2024,
Kastle,Startups (YC),AI agents for mortgage servicing,,ashby,kastle,,YC Summer 2024,
Conveo,Startups (YC),Confident decisions in days with AI-led interviews.,,ashby,conveo,,YC Summer 2024,
Clearly AI,Startups (YC),Automate security and privacy reviews,,ashby,clearly-ai,,YC Summer 2024,
Saturn,Startups (YC),Compliance and back office workflows for Wealth Managers.,,ashby,saturn,,YC Summer 2024,
FINNY AI,Startups (YC),The organic growth engine for financial advisors ,,ashby,finny,,YC Summer 2024,
Anara,Startups (YC),AI for researchers,,ashby,anara,,YC Summer 2024,
Conductor Quantum,Startups (YC),AI that operates quantum computers for scientific discovery,,ashby,conductor,,YC Summer 2024,
David AI,Startups (YC),Data for audio AI,,ashby,david-ai,,YC Summer 2024,
Thunder Compute,Startups (YC),VMware for GPUs,,ashby,thundercompute,,YC Summer 2024,
Simple AI,Startups (YC),AI voice that sells,,ashby,simple-ai,,YC Summer 2024,
Dataleap,Startups (YC),AI Employees for the Enterprise,,ashby,dataleap,,YC Summer 2024,
Assembly HOA,Startups (YC),AI-native HOA Management Company,,ashby,assembly,,YC Summer 2024,
Usul,Startups (YC),AI Platform for Winning Defense & Government Contracts,,ashby,usul,,YC Summer 2024,
Conductor,Startups (YC),Run a team of coding agents on your Mac,,ashby,conductor,,YC Summer 2024,
telli,Startups (YC),AI phone agents that convert,,ashby,telli,,YC Fall 2024,
CTGT,Startups (YC),The deterministic layer for frontier intelligence,,ashby,ctgt,,YC Fall 2024,
Unusual,Startups (YC),Market to AI agents,,lever,unusual,,YC Fall 2024,
Capy,Startups (YC),The IDE for the parallel age,,ashby,capy,,YC Fall 2024,
Bild AI,Startups (YC),"AI estimating & detailing for Division 8 doors, frames & hardware",,ashby,bild-ai,,YC Winter 2025,
Flowtel,Startups (YC),The AI Voice agents for hotels,,ashby,flowtel,,YC Winter 2025,
Weave,Startups (YC),AI to understand engineering work,,ashby,weave,,YC Winter 2025,
SalesPatriot,Startups (YC),AI powered operating system for distributors and OEMs,,ashby,salespatriot,,YC Winter 2025,
Paragon,Startups (YC),The AI Growth Engine for Industrials,,ashby,paragon,,YC Winter 2025,
Osmosis,Startups (YC),Reinforcement Learning (RL) for AI Agents,,greenhouse,osmosis,,YC Winter 2025,
hud,Startups (YC),Platform for building RL environments and evals ,,ashby,hud,,YC Winter 2025,
Solidroad,Startups (YC),"AI agents for CX teams, starting with training and QA.",,ashby,solidroad,,YC Winter 2025,
Mesh,Startups (YC),Eliminating accrual spreadsheets for faster month-end,,greenhouse,mesh,,YC Winter 2025,
AfterQuery,Startups (YC),Applied research lab curating data solutions for foundation model…,,ashby,afterquery,,YC Winter 2025,
Mastra,Startups (YC),"The Javascript framework for building AI agents, from the Gatsby devs",,ashby,mastra,,YC Winter 2025,
Mercura,Startups (YC),AI Quote and Order Automation for Distributors & Manufacturers,,ashby,mercura,,YC Winter 2025,
Dex,Startups (YC),The AI Coworker in Chrome,,ashby,dex,,YC Winter 2025,
Ambral,Startups (YC),AI for account management and customer success,,ashby,ambral,,YC Summer 2025,
Blaxel,Startups (YC),The perpetual sandbox platform,,ashby,blaxel,,YC Spring 2025,
Chestnut,Startups (YC),The first AI mortgage lender,,ashby,chestnut,,YC Spring 2025,
Avallon AI,Startups (YC),AI agents for insurance claims operations,,ashby,avallon,,YC Spring 2025,
Minerva,Startups (YC),AI native accounting firm,,ashby,minerva,,YC Spring 2025,
Auctor,Startups (YC),The agentic operating system for modern system integrators.,,ashby,auctor,,YC Spring 2025,
Claim Health,Startups (YC),AI Revenue Platform for Post-Acute Care,,ashby,claim-health,,YC Spring 2025,
Sim,Startups (YC),Open source platform to build AI agent workflows,,ashby,sim,,YC Spring 2025,
Lucis,Startups (YC),Function Health for Europe ,,ashby,lucis,,YC Spring 2025,
